customer_id,gender,senior_citizen,has_partner,has_dependents,age,tenure_months,contract,payment_method,internet_service,num_products,monthly_charges,total_charges,support_calls,churn
CUST00025,Female,0,No,No,55,45,Month-to-month,Bank transfer,Fiber optic,3,95.38,4348.2,0.0,1
CUST00026,Male,0,No,No,19,58,Month-to-month,Credit card,Fiber optic,3,22.07,1233.25,0.0,1
CUST00027,Male,0,No,Yes,38,31,Two year,Credit card,Fiber optic,3,46.9,1479.23,1.0,1
CUST00028,Male,0,Yes,No,50,23,Two year,Bank transfer,No,3,71.76,1673.02,2.0,0
CUST00029,Female,1,Yes,No,29,42,Two year,Bank transfer,DSL,1,46.88,1885.77,2.0,0
CUST00030,Male,0,Yes,No,39,10,One year,Electronic check,DSL,2,82.84,880.86,2.0,1
CUST00031,Male,0,No,No,61,32,Month-to-month,Bank transfer,No,2,68.19,2153.75,1.0,1
CUST00032,Female,1,No,No,42,53,Month-to-month,Bank transfer,Fiber optic,1,56.17,2979.76,3.0,0
CUST00033,Female,0,No,Yes,66,30,Month-to-month,Mailed check,Fiber optic,2,114.92,3429.69,2.0,1
CUST00034,Male,0,No,No,44,39,Month-to-month,Mailed check,DSL,3,83.22,3326.71,3.0,0
CUST00035,Male,1,Yes,No,59,31,Month-to-month,Bank transfer,DSL,3,32.99,1089.86,1.0,1
CUST00036,Male,1,Yes,No,45,2,Two year,Credit card,DSL,1,76.01,61.4,0.0,1
CUST00037,Female,0,No,Yes,33,12,Two year,Electronic check,Fiber optic,2,98.07,1289.78,3.0,1
CUST00038,Male,0,No,No,32,39,Month-to-month,Electronic check,DSL,1,90.85,3509.23,0.0,0
CUST00039,Female,0,No,No,64,66,One year,Bank transfer,Fiber optic,1,37.21,2560.98,1.0,0
CUST00040,Male,0,No,No,68,13,One year,Electronic check,Fiber optic,1,117.24,1511.31,1.0,0
CUST00041,Female,1,No,No,61,46,Month-to-month,Bank transfer,DSL,3,64.88,2967.43,0.0,1
CUST00042,Female,0,No,No,72,27,One year,Electronic check,DSL,1,35.9,956.93,2.0,0
CUST00043,Female,0,No,No,69,17,Month-to-month,Mailed check,Fiber optic,3,38.02,626.3,1.0,1
CUST00044,Male,0,Yes,No,74,60,Two year,Bank transfer,DSL,1,29.82,1915.42,2.0,0
CUST00045,Female,0,No,No,20,64,One year,Electronic check,DSL,3,100.35,6418.58,3.0,0
CUST00046,Female,0,No,No,54,35,One year,Electronic check,DSL,3,32.2,1111.89,5.0,1
CUST00047,Male,0,No,No,68,70,Month-to-month,Electronic check,Fiber optic,4,32.51,2279.55,2.0,1
CUST00048,Female,0,Yes,No,24,30,Month-to-month,Mailed check,Fiber optic,3,105.05,3103.13,3.0,1
CUST00049,Female,1,Yes,Yes,38,71,Month-to-month,Bank transfer,DSL,4,54.46,3946.52,2.0,1
CUST00050,Male,0,Yes,Yes,26,63,One year,Mailed check,Fiber optic,3,23.09,1381.12,3.0,0
CUST00051,Female,0,No,No,56,28,Two year,Mailed check,No,3,25.19,674.62,1.0,0
CUST00052,Male,0,Yes,No,35,60,Month-to-month,Mailed check,Fiber optic,1,34.22,2100.03,2.0,1
CUST00053,Male,1,Yes,Yes,21,37,One year,Electronic check,DSL,1,41.34,1531.7,0.0,1
CUST00054,Male,1,No,No,42,22,Month-to-month,Bank transfer,Fiber optic,1,86.51,1930.68,1.0,1
CUST00055,Female,0,No,No,31,68,Month-to-month,Electronic check,Fiber optic,2,35.73,2506.3,0.0,1
CUST00056,Male,0,No,No,67,20,One year,Credit card,No,2,31.89,687.99,3.0,1
CUST00057,Female,0,No,No,26,68,One year,Mailed check,No,3,96.47,6566.83,1.0,0
CUST00058,Female,0,No,No,43,64,Month-to-month,Mailed check,Fiber optic,4,87.11,5679.51,2.0,1
CUST00059,Female,1,No,Yes,70,17,Month-to-month,Bank transfer,Fiber optic,2,63.53,1048.59,1.0,1
CUST00060,Female,0,Yes,No,19,12,Month-to-month,Credit card,No,2,74.93,894.14,0.0,1
CUST00061,Male,0,Yes,No,37,22,Month-to-month,Credit card,No,4,51.2,1124.88,2.0,0
CUST00062,Male,0,No,No,45,17,Two year,Mailed check,Fiber optic,1,68.25,1155.13,2.0,1
CUST00063,Female,1,Yes,No,64,10,One year,Electronic check,DSL,3,70.67,653.24,2.0,1
CUST00064,Female,1,No,Yes,24,65,Month-to-month,Credit card,DSL,1,58.72,3737.62,1.0,1
CUST00065,Male,0,Yes,No,61,22,Month-to-month,Electronic check,Fiber optic,3,110.66,2455.38,3.0,1
CUST00066,Male,0,Yes,No,25,50,Two year,Credit card,Fiber optic,1,21.61,1048.83,4.0,0
CUST00067,Male,0,Yes,No,64,14,One year,Bank transfer,No,3,98.22,1470.47,2.0,0
CUST00068,Female,0,No,Yes,52,64,One year,Credit card,No,2,32.44,2072.53,3.0,0
CUST00069,Male,0,Yes,No,31,47,Month-to-month,Credit card,DSL,1,99.75,4675.68,2.0,1
CUST00070,Male,0,Yes,Yes,34,29,Two year,Electronic check,Fiber optic,1,81.59,2420.83,6.0,0
CUST00071,Male,0,No,No,53,36,Month-to-month,Bank transfer,DSL,2,104.33,3775.99,5.0,1
CUST00072,Female,0,No,No,67,52,One year,Electronic check,Fiber optic,4,29.75,1538.22,1.0,1
CUST00073,Male,0,Yes,No,57,7,Two year,Electronic check,Fiber optic,3,75.9,499.26,1.0,1
CUST00074,Male,1,No,No,21,29,Month-to-month,Mailed check,DSL,2,70.11,2216.08,3.0,0
CUST00075,Male,1,No,No,19,11,Month-to-month,Electronic check,DSL,2,90.62,1014.91,3.0,0
CUST00076,Female,0,Yes,Yes,23,33,Month-to-month,Bank transfer,DSL,2,73.43,2477.41,6.0,1
CUST00077,Female,1,No,No,71,6,Month-to-month,Credit card,DSL,3,74.07,393.27,2.0,0
CUST00078,Male,0,Yes,No,59,32,Month-to-month,Mailed check,No,3,62.96,1985.82,1.0,0
CUST00079,Female,0,No,Yes,21,51,Two year,Electronic check,DSL,2,50.88,2700.5,0.0,0
CUST00080,Female,0,No,Yes,71,58,Month-to-month,Credit card,DSL,3,68.23,4027.19,2.0,0
CUST00081,Male,0,No,No,46,26,One year,Credit card,DSL,3,31.85,850.98,3.0,1
CUST00082,Female,0,Yes,No,35,46,Two year,Bank transfer,No,4,116.15,5323.82,2.0,0
CUST00083,Male,0,No,No,43,29,Two year,Bank transfer,DSL,4,91.44,2640.06,3.0,0
CUST00084,Female,0,No,No,61,4,Month-to-month,Credit card,DSL,3,115.25,427.19,1.0,1
CUST00085,Female,0,No,No,51,13,Month-to-month,Electronic check,Fiber optic,3,42.67,496.87,1.0,1
CUST00086,Male,0,No,No,27,39,Month-to-month,Credit card,DSL,1,107.93,4255.46,3.0,1
CUST00087,Male,0,No,Yes,53,15,Month-to-month,Credit card,DSL,3,100.88,1540.14,0.0,0
CUST00088,Male,0,Yes,No,31,29,One year,Credit card,Fiber optic,2,87.72,2580.68,1.0,1
CUST00089,Female,0,Yes,No,48,29,Month-to-month,Electronic check,DSL,1,82.5,2375.66,3.0,0
CUST00090,Female,0,No,No,65,32,Month-to-month,Credit card,No,2,51.65,1665.58,2.0,1
CUST00091,Female,0,No,No,32,2,Month-to-month,Mailed check,Fiber optic,3,101.64,181.68,1.0,1
CUST00092,Female,0,Yes,No,25,47,One year,Bank transfer,Fiber optic,1,70.15,3260.68,1.0,1
CUST00093,Male,0,Yes,No,31,22,Month-to-month,Credit card,DSL,2,27.09,679.33,6.0,0
CUST00094,Male,0,No,No,40,27,Month-to-month,Electronic check,No,2,51.29,1390.91,1.0,1
CUST00095,Male,0,Yes,No,74,67,Month-to-month,Mailed check,Fiber optic,1,113.53,7631.88,2.0,1
CUST00096,Male,1,Yes,Yes,57,56,One year,Credit card,DSL,1,105.07,5925.71,1.0,1
CUST00097,Male,0,Yes,No,38,21,One year,Credit card,DSL,3,118.19,2488.69,1.0,0
CUST00098,Female,0,Yes,Yes,33,47,Month-to-month,Credit card,Fiber optic,3,82.8,3903.63,2.0,1
CUST00099,Female,0,Yes,Yes,62,59,Two year,Electronic check,Fiber optic,1,44.75,2585.92,2.0,1
CUST00100,Male,0,Yes,No,35,6,Month-to-month,Bank transfer,No,3,36.28,172.87,1.0,0
CUST00101,Female,1,No,No,64,19,Month-to-month,Electronic check,Fiber optic,3,38.69,687.72,2.0,1
CUST00102,Female,0,Yes,No,70,57,Month-to-month,Bank transfer,Fiber optic,2,21.98,1283.13,1.0,1
CUST00103,Female,0,No,No,41,69,Month-to-month,Electronic check,DSL,3,59.07,4079.37,3.0,1
CUST00104,Male,0,No,Yes,43,3,One year,Bank transfer,Fiber optic,4,39.14,72.62,3.0,1
CUST00105,Female,0,Yes,Yes,42,1,Month-to-month,Mailed check,No,2,61.17,90.17,3.0,0
CUST00106,Male,0,Yes,Yes,62,58,One year,Credit card,Fiber optic,1,113.5,6610.17,3.0,0
CUST00107,Female,0,No,No,58,38,Month-to-month,Bank transfer,DSL,4,63.05,2361.15,4.0,0
CUST00108,Female,0,Yes,Yes,46,15,Two year,Bank transfer,DSL,2,107.8,1615.61,3.0,0
CUST00109,Male,0,Yes,Yes,32,34,One year,Mailed check,DSL,1,80.55,2766.06,0.0,0
CUST00110,Male,0,Yes,No,62,61,One year,Bank transfer,Fiber optic,2,44.71,2684.39,0.0,1
CUST00111,Male,0,Yes,Yes,18,35,One year,Mailed check,No,2,55.59,1973.96,2.0,1
CUST00112,Male,0,No,Yes,42,64,Two year,Electronic check,DSL,3,28.39,1832.01,3.0,1
CUST00113,Female,0,No,No,24,25,Two year,Bank transfer,DSL,2,53.35,1283.79,1.0,0
CUST00114,Male,1,Yes,No,26,24,Month-to-month,Credit card,Fiber optic,1,87.75,2116.99,2.0,1
CUST00115,Male,0,No,No,41,12,Month-to-month,Electronic check,No,3,27.21,344.8,2.0,0
CUST00116,Female,0,Yes,No,18,18,Month-to-month,Electronic check,Fiber optic,2,40.54,698.42,3.0,0
CUST00117,Female,0,No,No,61,15,Month-to-month,Bank transfer,DSL,1,58.14,844.74,0.0,0
CUST00118,Female,0,No,Yes,25,27,Month-to-month,Credit card,DSL,2,118.2,3140.98,1.0,1
CUST00119,Male,0,No,No,41,60,Month-to-month,Electronic check,Fiber optic,3,98.49,5886.95,1.0,1
CUST00120,Male,0,Yes,No,28,46,Two year,Credit card,No,1,93.35,4293.5,1.0,0
CUST00121,Female,0,No,No,68,17,Month-to-month,Credit card,DSL,2,31.62,510.31,0.0,1
CUST00122,Female,1,Yes,No,34,53,Two year,Electronic check,Fiber optic,2,98.1,5125.06,2.0,1
CUST00123,Female,0,Yes,No,25,8,Month-to-month,Electronic check,Fiber optic,1,98.53,753.81,0.0,1
CUST00124,Male,0,No,No,52,27,One year,Bank transfer,Fiber optic,2,80.11,2142.11,,0
CUST00125,Female,0,No,No,52,46,Month-to-month,Credit card,DSL,2,119.04,5516.68,2.0,0
CUST00126,Male,0,Yes,No,50,50,One year,Bank transfer,No,3,52.53,2656.24,4.0,0
CUST00127,Male,0,Yes,No,22,71,Month-to-month,Mailed check,Fiber optic,1,114.13,8145.04,1.0,1
CUST00128,Female,0,Yes,No,59,3,Month-to-month,Electronic check,Fiber optic,3,111.47,297.46,3.0,0
CUST00129,Male,0,Yes,No,56,64,Two year,Mailed check,Fiber optic,1,21.15,1360.68,1.0,0
CUST00130,Male,0,Yes,Yes,58,44,Month-to-month,Bank transfer,No,4,65.01,2739.29,2.0,0
CUST00131,Male,0,No,No,45,53,Month-to-month,Electronic check,Fiber optic,2,117.71,6260.08,2.0,1
CUST00132,Male,0,Yes,Yes,24,24,Month-to-month,Mailed check,Fiber optic,3,30.31,757.98,0.0,1
CUST00133,Male,0,Yes,Yes,26,60,Two year,Electronic check,Fiber optic,1,74.78,4469.22,3.0,0
CUST00134,Male,1,No,No,25,3,Month-to-month,Mailed check,Fiber optic,2,117.9,368.47,2.0,1
CUST00135,Female,1,No,No,29,20,One year,Electronic check,DSL,1,75.55,1435.25,7.0,1
CUST00136,Male,0,No,Yes,51,46,Month-to-month,Electronic check,No,4,38.98,1753.03,1.0,0
CUST00137,Female,1,No,No,50,15,Month-to-month,Credit card,No,2,78.22,1211.57,2.0,0
CUST00138,Male,0,Yes,No,65,25,Two year,Electronic check,DSL,2,40.44,1036.56,1.0,0
CUST00139,Female,0,No,No,72,71,Month-to-month,Bank transfer,DSL,3,71.97,5089.28,1.0,1
CUST00140,Female,0,No,Yes,40,17,One year,Electronic check,DSL,2,27.4,506.37,1.0,1
CUST00141,Female,0,No,No,41,9,Month-to-month,Electronic check,No,3,80.55,731.86,6.0,1
CUST00142,Male,0,No,No,54,38,Month-to-month,Mailed check,Fiber optic,3,71.68,2698.63,0.0,0
CUST00143,Male,0,No,No,52,48,Month-to-month,Electronic check,Fiber optic,3,94.02,4503.82,1.0,0
CUST00144,Male,0,No,No,61,60,One year,Electronic check,No,2,83.07,4961.43,0.0,1
CUST00145,Male,0,Yes,No,57,63,One year,Credit card,Fiber optic,2,74.96,4663.29,6.0,0
CUST00146,Male,0,Yes,Yes,39,2,One year,Electronic check,No,1,88.98,240.79,1.0,1
CUST00147,Male,1,No,No,44,11,Month-to-month,Electronic check,Fiber optic,3,34.39,349.89,2.0,1
CUST00148,Female,1,No,No,52,64,Month-to-month,Credit card,Fiber optic,2,79.54,5048.94,4.0,1
CUST00149,Male,1,Yes,Yes,18,21,Month-to-month,Electronic check,Fiber optic,2,37.21,704.94,0.0,1
CUST00150,Male,1,No,No,52,18,One year,Bank transfer,Fiber optic,4,112.55,1894.1,2.0,1
CUST00151,Male,0,Yes,No,54,64,Two year,Electronic check,No,1,26.83,1752.19,2.0,1
CUST00152,Female,0,No,No,64,38,Month-to-month,Electronic check,Fiber optic,3,63.04,2435.2,1.0,1
CUST00153,Female,0,No,Yes,31,32,Month-to-month,Bank transfer,Fiber optic,4,89.58,2926.21,4.0,0
CUST00154,Female,1,Yes,No,20,11,Month-to-month,Credit card,DSL,3,65.8,716.35,2.0,1
CUST00155,Female,0,Yes,Yes,18,45,Two year,Electronic check,DSL,3,29.21,1298.35,2.0,1
CUST00156,Male,0,Yes,No,22,33,Two year,Mailed check,Fiber optic,2,75.34,2460.83,1.0,0
CUST00157,Male,0,No,No,43,41,Month-to-month,Electronic check,Fiber optic,1,84.16,3429.73,1.0,1
CUST00158,Female,0,No,No,72,8,Month-to-month,Electronic check,No,3,90.38,779.03,6.0,0
CUST00159,Female,0,No,No,31,11,Month-to-month,Credit card,Fiber optic,2,57.33,629.3,3.0,1
CUST00160,Male,0,No,No,56,51,One year,Electronic check,Fiber optic,1,76.37,3913.77,2.0,1
CUST00161,Female,0,Yes,No,44,41,One year,Credit card,Fiber optic,3,65.07,2645.77,4.0,0
CUST00162,Female,0,Yes,No,26,17,Month-to-month,Electronic check,Fiber optic,2,87.21,1548.61,0.0,1
CUST00163,Female,0,No,Yes,32,46,Two year,Credit card,No,4,78.36,3509.32,0.0,1
CUST00164,Female,0,No,No,32,32,Month-to-month,Mailed check,Fiber optic,3,72.58,2261.53,2.0,1
CUST00165,Male,0,Yes,No,43,54,Month-to-month,Credit card,DSL,3,44.95,2446.29,2.0,0
CUST00166,Female,1,Yes,No,59,20,One year,Electronic check,Fiber optic,3,20.2,491.53,3.0,1
CUST00167,Male,0,Yes,No,30,33,Month-to-month,Bank transfer,DSL,3,37.41,1223.27,2.0,1
CUST00168,Female,0,No,No,68,40,Two year,Bank transfer,DSL,3,31.71,1226.28,4.0,0
CUST00169,Female,0,Yes,No,49,32,Month-to-month,Mailed check,DSL,2,64.91,2127.15,6.0,1
CUST00170,Male,0,No,Yes,56,2,Month-to-month,Credit card,Fiber optic,1,81.23,178.64,0.0,1
CUST00171,Male,0,Yes,Yes,66,33,One year,Bank transfer,DSL,3,41.31,1427.74,2.0,1
CUST00172,Female,0,Yes,No,69,30,Month-to-month,Credit card,DSL,3,113.91,3352.78,0.0,1
CUST00173,Female,0,Yes,No,49,33,Month-to-month,Mailed check,DSL,2,20.67,742.69,1.0,1
CUST00174,Female,0,No,No,21,26,Two year,Bank transfer,DSL,1,97.23,2450.56,0.0,0
CUST00175,Male,0,Yes,No,47,22,Month-to-month,Credit card,DSL,2,82.52,1801.03,1.0,1
CUST00176,Female,0,Yes,No,54,66,Month-to-month,Electronic check,DSL,1,57.36,3806.4,4.0,1
CUST00177,Female,0,Yes,No,40,38,Two year,Mailed check,DSL,4,25.05,961.2,2.0,0
CUST00178,Male,0,No,No,56,46,Month-to-month,Credit card,DSL,4,82.75,3859.53,5.0,0
CUST00179,Female,0,Yes,Yes,62,15,Month-to-month,Mailed check,DSL,1,58.56,787.07,2.0,1
CUST00180,Female,0,No,No,32,44,One year,Electronic check,No,3,113.63,5006.77,3.0,1
CUST00181,Female,1,Yes,No,60,49,Month-to-month,Mailed check,Fiber optic,1,74.2,3695.78,1.0,1
CUST00182,Male,0,No,No,46,61,Two year,Credit card,Fiber optic,3,113.97,6955.13,5.0,0
CUST00183,Female,0,No,No,53,67,Month-to-month,Credit card,No,2,42.05,2760.23,2.0,0
CUST00184,Female,0,Yes,No,30,6,One year,Credit card,DSL,3,92.57,605.8,0.0,1
CUST00185,Female,0,No,No,49,9,Month-to-month,Bank transfer,Fiber optic,2,81.72,703.06,4.0,1
CUST00186,Female,0,Yes,No,24,6,Month-to-month,Mailed check,No,1,93.94,522.42,1.0,1
CUST00187,Male,0,No,No,68,32,One year,Electronic check,Fiber optic,2,41.47,1279.53,2.0,1
CUST00188,Female,0,Yes,No,39,41,Month-to-month,Electronic check,No,1,86.5,3536.57,5.0,1
CUST00189,Female,1,Yes,Yes,45,8,One year,Electronic check,No,2,69.8,567.55,2.0,1
CUST00190,Female,0,Yes,No,19,50,Month-to-month,Electronic check,DSL,1,94.28,4650.54,2.0,1
CUST00191,Female,0,No,No,59,62,One year,Credit card,No,2,52.7,3214.22,5.0,0
CUST00192,Male,0,Yes,No,62,62,Month-to-month,Credit card,No,3,,6723.9,0.0,0
CUST00193,Female,0,No,No,74,7,One year,Mailed check,Fiber optic,3,28.43,151.26,4.0,0
CUST00194,Female,0,Yes,No,70,4,One year,Credit card,No,3,100.72,404.72,3.0,1
CUST00195,Male,0,No,No,23,6,Month-to-month,Credit card,DSL,4,106.13,654.84,5.0,1
CUST00196,Female,0,No,No,45,58,Month-to-month,Bank transfer,Fiber optic,1,101.73,5911.53,0.0,0
CUST00197,Male,0,No,No,45,22,Month-to-month,Mailed check,DSL,1,71.27,1579.21,2.0,0
CUST00198,Female,0,No,No,61,26,Month-to-month,Electronic check,DSL,2,63.84,1743.39,1.0,1
CUST00199,Male,0,Yes,No,61,3,One year,Mailed check,Fiber optic,3,119.63,380.07,5.0,1
CUST00200,Male,0,Yes,No,37,41,Month-to-month,Electronic check,DSL,4,42.92,1798.92,3.0,0
CUST00201,Female,0,Yes,No,47,60,Two year,Mailed check,Fiber optic,1,74.69,4460.67,1.0,1
CUST00202,Male,0,No,No,28,14,Month-to-month,Credit card,Fiber optic,2,87.07,1266.18,2.0,1
CUST00203,Male,0,No,No,72,12,Two year,Electronic check,Fiber optic,1,90.09,1057.96,0.0,0
CUST00204,Female,0,No,No,45,12,Month-to-month,Electronic check,DSL,3,40.4,505.37,1.0,0
CUST00205,Female,0,No,No,42,13,Two year,Bank transfer,Fiber optic,2,85.4,1041.63,5.0,0
CUST00206,Female,0,No,No,56,25,Month-to-month,Bank transfer,No,1,101.84,2554.31,1.0,1
CUST00207,Female,0,No,No,50,45,Month-to-month,Electronic check,Fiber optic,2,25.0,1076.23,3.0,1
CUST00208,Female,0,No,No,18,19,Two year,Electronic check,Fiber optic,3,111.15,2158.65,1.0,0
CUST00209,Female,0,No,No,74,55,Month-to-month,Credit card,Fiber optic,3,22.95,,3.0,0
CUST00210,Female,0,No,No,44,45,Month-to-month,Electronic check,Fiber optic,1,55.6,2478.67,5.0,1
CUST00211,Female,0,No,Yes,74,8,One year,Credit card,Fiber optic,3,21.58,275.12,0.0,0
CUST00212,Female,0,No,Yes,69,53,One year,Mailed check,No,2,27.71,1454.34,1.0,1
CUST00213,Male,0,No,No,30,55,Month-to-month,Mailed check,Fiber optic,3,111.12,6031.0,3.0,1
CUST00214,Male,0,Yes,No,58,32,Month-to-month,Electronic check,Fiber optic,3,55.49,1736.72,1.0,1
CUST00215,Male,1,No,Yes,20,51,One year,Bank transfer,Fiber optic,1,62.48,3134.27,3.0,0
CUST00216,Male,0,No,No,56,44,Month-to-month,Credit card,Fiber optic,1,41.53,1846.3,0.0,1
CUST00217,Male,0,Yes,Yes,23,70,Two year,Electronic check,Fiber optic,3,79.71,5517.93,1.0,0
CUST00218,Male,0,Yes,No,25,18,One year,Electronic check,Fiber optic,1,79.48,1403.68,0.0,1
CUST00219,Male,1,No,Yes,44,22,One year,Electronic check,Fiber optic,3,57.22,1274.57,2.0,0
CUST00220,Female,1,No,No,26,37,Month-to-month,Credit card,DSL,3,53.3,1979.03,4.0,1
CUST00221,Male,0,Yes,No,54,56,Two year,Mailed check,Fiber optic,3,108.5,6075.37,1.0,1
CUST00222,Male,0,Yes,No,50,59,Month-to-month,Electronic check,No,1,58.33,3447.77,3.0,1
CUST00223,Male,0,No,No,68,3,Two year,Electronic check,DSL,2,69.35,189.52,1.0,1
CUST00224,Male,0,Yes,No,59,28,Month-to-month,Mailed check,No,3,48.33,1273.05,2.0,1
CUST00225,Male,0,Yes,No,61,35,One year,Credit card,DSL,1,98.68,3433.96,3.0,1
CUST00226,Female,0,No,Yes,41,61,One year,Bank transfer,DSL,3,59.74,3667.58,0.0,1
CUST00227,Male,0,No,No,32,54,Month-to-month,Electronic check,Fiber optic,3,71.36,3846.59,2.0,1
CUST00228,Male,0,No,No,71,63,Month-to-month,Electronic check,No,2,45.34,2875.99,3.0,1
CUST00229,Female,0,Yes,No,49,7,Month-to-month,Mailed check,Fiber optic,3,118.77,802.05,3.0,1
CUST00230,Male,0,Yes,Yes,49,49,Month-to-month,Electronic check,DSL,1,49.15,2458.07,1.0,1
CUST00231,Female,0,Yes,No,41,31,Month-to-month,Bank transfer,DSL,2,97.07,2881.35,1.0,0
CUST00232,Female,0,Yes,No,58,58,Month-to-month,Mailed check,Fiber optic,4,62.75,3646.57,2.0,1
CUST00233,Female,0,Yes,No,69,61,One year,Electronic check,DSL,4,40.62,2545.26,0.0,0
CUST00234,Male,0,No,Yes,66,24,One year,Mailed check,Fiber optic,2,99.97,2474.16,1.0,0
CUST00235,Male,0,Yes,No,66,20,Month-to-month,Bank transfer,Fiber optic,4,53.36,1055.61,4.0,1
CUST00236,Female,0,No,No,69,37,One year,Mailed check,Fiber optic,2,106.52,3874.93,1.0,0
CUST00237,Male,0,Yes,Yes,29,4,Two year,Credit card,DSL,1,111.53,514.44,3.0,1
CUST00238,Male,1,No,No,56,20,Month-to-month,Bank transfer,DSL,1,105.98,2117.01,5.0,1
CUST00239,Female,1,No,Yes,19,60,Month-to-month,Bank transfer,Fiber optic,4,23.5,1402.05,2.0,1
CUST00240,Female,0,Yes,Yes,20,24,Month-to-month,Bank transfer,DSL,1,98.74,2325.12,2.0,0
CUST00241,Male,0,Yes,No,66,50,One year,Electronic check,Fiber optic,2,61.13,2994.01,1.0,1
CUST00242,Female,0,No,No,54,49,One year,Electronic check,No,2,107.37,5289.32,3.0,1
CUST00243,Female,0,No,No,66,51,One year,Credit card,DSL,3,83.8,4307.29,1.0,0
CUST00244,Male,0,No,No,73,36,Month-to-month,Credit card,DSL,2,103.36,3731.04,2.0,0
CUST00245,Male,0,Yes,No,34,66,Two year,Bank transfer,DSL,1,69.94,4577.84,2.0,0
CUST00246,Female,0,No,No,66,34,Month-to-month,Bank transfer,No,1,73.5,2445.75,1.0,1
CUST00247,Male,1,No,Yes,19,36,Month-to-month,Electronic check,DSL,2,34.44,1168.23,4.0,1
CUST00248,Male,1,Yes,No,19,6,Month-to-month,Mailed check,No,3,98.4,562.37,2.0,1
CUST00249,Male,1,No,No,45,39,Month-to-month,Credit card,Fiber optic,2,61.94,2365.37,1.0,1
CUST00250,Male,0,No,No,71,42,One year,Credit card,DSL,3,70.01,2854.95,2.0,0
CUST00251,Male,1,No,No,40,58,One year,Electronic check,DSL,1,98.51,5746.15,0.0,1
CUST00252,Male,0,No,No,54,12,Two year,Electronic check,Fiber optic,3,79.88,892.61,0.0,1
CUST00253,Female,0,No,Yes,49,3,Month-to-month,Mailed check,Fiber optic,2,40.11,169.53,1.0,1
CUST00254,Female,0,Yes,Yes,50,18,Two year,Mailed check,Fiber optic,1,79.02,1442.06,0.0,0
CUST00255,Female,0,No,Yes,18,40,One year,Mailed check,DSL,2,60.76,2445.12,2.0,0
CUST00256,Female,1,No,No,36,21,Month-to-month,Bank transfer,Fiber optic,3,66.95,1489.22,4.0,1
CUST00257,Female,0,No,Yes,19,15,Two year,Electronic check,DSL,3,22.83,278.16,2.0,0
CUST00258,Male,0,No,No,70,26,One year,Bank transfer,Fiber optic,1,41.0,1109.69,5.0,1
CUST00259,Male,0,Yes,No,61,8,Month-to-month,Bank transfer,Fiber optic,3,48.1,369.92,4.0,1
